id,day.of.week,num.of.guests,hour,table,dessert
1,Monday,2,evening,13,TRUE
2,Saturday,4,night,19,TRUE
3,Saturday,4,after-noon,12,FALSE
4,Thursday,3,night,5,TRUE
5,Monday,7,noon,10,TRUE
6,Friday,2,evening,19,FALSE
7,Monday,2,evening,22,TRUE
8,Sunday,4,noon,4,TRUE
9,Thursday,4,evening,9,FALSE
10,Thursday,1,noon,17,TRUE
11,Friday,4,noon,23,TRUE
12,Friday,6,evening,10,TRUE
13,Friday,4,noon,4,TRUE
14,Wednesday,2,night,19,FALSE
15,Saturday,8,noon,19,TRUE
16,Wednesday,3,evening,21,TRUE
17,Tuesday,1,evening,17,TRUE
18,Wednesday,1,evening,11,TRUE
19,Sunday,2,evening,2,FALSE
20,Saturday,2,night,17,TRUE
21,Wednesday,2,evening,22,TRUE
22,Sunday,2,evening,1,TRUE
23,Friday,1,night,3,FALSE
24,Thursday,2,noon,10,TRUE
25,Friday,1,evening,4,FALSE
26,Saturday,2,evening,3,TRUE
27,Saturday,5,night,7,FALSE
28,Friday,4,evening,14,TRUE
29,Saturday,2,evening,4,FALSE
30,Monday,3,noon,12,TRUE
31,Saturday,5,noon,9,TRUE
32,Tuesday,4,noon,10,TRUE
33,Thursday,3,evening,7,FALSE
34,Tuesday,3,evening,10,FALSE
35,Friday,7,night,11,TRUE
36,Monday,4,evening,20,FALSE
37,Thursday,2,evening,9,TRUE
38,Wednesday,3,evening,11,TRUE
39,Friday,4,noon,1,TRUE
40,Wednesday,1,after-noon,23,TRUE
41,Saturday,2,evening,8,TRUE
42,Monday,2,evening,1,FALSE
43,Thursday,2,evening,9,TRUE
44,Wednesday,4,night,15,TRUE
45,Tuesday,4,evening,7,FALSE
46,Tuesday,2,night,23,TRUE
47,Wednesday,3,evening,2,TRUE
48,Friday,4,night,3,FALSE
49,Tuesday,3,evening,7,TRUE
50,Wednesday,3,noon,5,TRUE
51,Wednesday,6,after-noon,22,FALSE
52,Tuesday,2,evening,8,TRUE
53,Monday,4,night,10,TRUE
54,Saturday,3,evening,13,FALSE
55,Saturday,6,evening,7,TRUE
56,Friday,1,night,10,FALSE
57,Friday,2,noon,11,TRUE
58,Saturday,5,evening,8,FALSE
59,Tuesday,3,evening,1,TRUE
60,Thursday,4,night,23,TRUE
61,Saturday,2,evening,3,TRUE
62,Monday,2,evening,13,TRUE
63,Saturday,6,noon,17,FALSE
64,Tuesday,1,evening,20,FALSE
65,Saturday,2,after-noon,15,FALSE
66,Thursday,4,evening,1,TRUE
67,Saturday,6,noon,8,TRUE
68,Tuesday,3,noon,21,TRUE
69,Wednesday,2,noon,12,TRUE
70,Friday,6,night,21,TRUE
71,Monday,3,evening,23,FALSE
72,Saturday,2,noon,8,TRUE
73,Monday,2,night,1,TRUE
74,Saturday,4,noon,10,TRUE
75,Saturday,3,night,18,TRUE
76,Tuesday,6,night,22,FALSE
77,Monday,4,evening,17,TRUE
78,Monday,7,after-noon,12,FALSE
79,Saturday,2,noon,17,TRUE
80,Wednesday,3,noon,20,FALSE
81,Sunday,3,evening,19,FALSE
82,Saturday,3,noon,17,TRUE
83,Wednesday,3,noon,11,TRUE
84,Saturday,4,noon,11,TRUE
85,Saturday,2,evening,20,TRUE
86,Wednesday,4,evening,9,TRUE
87,Friday,1,night,16,FALSE
88,Wednesday,4,evening,2,FALSE
89,Friday,2,noon,20,TRUE
90,Saturday,6,after-noon,1,TRUE
91,Friday,3,noon,3,FALSE
92,Friday,3,night,12,TRUE
93,Friday,5,noon,16,FALSE
94,Thursday,2,night,14,TRUE
95,Monday,2,evening,21,TRUE
96,Wednesday,5,noon,8,TRUE
97,Wednesday,5,evening,13,FALSE
98,Tuesday,2,noon,17,TRUE
99,Saturday,4,after-noon,4,FALSE
100,Monday,4,noon,16,TRUE
101,Thursday,6,noon,21,TRUE
102,Thursday,4,noon,9,TRUE
103,Saturday,2,noon,1,TRUE
104,Saturday,3,noon,12,FALSE
105,Sunday,2,evening,3,FALSE
106,Thursday,2,evening,21,TRUE
107,Friday,4,after-noon,6,FALSE
108,Friday,3,after-noon,15,FALSE
109,Tuesday,3,evening,9,TRUE
110,Sunday,6,night,19,TRUE
111,Thursday,3,noon,22,TRUE
112,Sunday,2,noon,16,TRUE
113,Wednesday,4,evening,1,TRUE
114,Saturday,2,night,23,TRUE
115,Saturday,4,night,12,FALSE
116,Friday,5,evening,23,FALSE
117,Friday,4,evening,10,FALSE
118,Wednesday,3,after-noon,4,FALSE
119,Friday,5,night,18,FALSE
120,Tuesday,3,evening,8,FALSE
121,Thursday,5,night,15,FALSE
122,Sunday,2,evening,14,TRUE
123,Tuesday,5,evening,2,TRUE
124,Tuesday,3,after-noon,10,FALSE
125,Friday,1,evening,8,FALSE
126,Wednesday,5,night,10,TRUE
127,Tuesday,6,noon,9,TRUE
128,Tuesday,2,evening,18,TRUE
129,Friday,3,evening,22,FALSE
130,Friday,2,evening,6,FALSE
131,Thursday,3,night,20,TRUE
132,Thursday,1,evening,1,FALSE
133,Friday,2,night,22,TRUE
134,Friday,3,evening,23,FALSE
135,Thursday,3,night,19,TRUE
136,Sunday,3,evening,16,FALSE
137,Thursday,2,evening,7,TRUE
138,Thursday,2,evening,20,FALSE
139,Tuesday,4,after-noon,20,TRUE
140,Sunday,1,noon,9,FALSE
141,Tuesday,3,noon,20,TRUE
142,Wednesday,2,night,13,FALSE
143,Thursday,2,evening,14,TRUE
144,Friday,1,evening,1,FALSE
145,Saturday,2,evening,21,TRUE
146,Wednesday,5,noon,15,TRUE
147,Tuesday,4,evening,13,TRUE
148,Friday,3,noon,16,FALSE
149,Wednesday,2,evening,22,FALSE
150,Friday,1,after-noon,5,FALSE
151,Monday,2,noon,11,TRUE
152,Thursday,1,evening,7,FALSE
153,Tuesday,2,noon,11,TRUE
154,Saturday,5,evening,21,FALSE
155,Tuesday,1,evening,18,FALSE
156,Tuesday,10,evening,16,TRUE
157,Friday,2,noon,15,TRUE
158,Tuesday,2,night,10,FALSE
159,Friday,2,noon,2,FALSE
160,Saturday,2,noon,15,TRUE
161,Friday,3,evening,6,FALSE
162,Saturday,2,night,3,TRUE
163,Monday,2,after-noon,4,FALSE
164,Tuesday,4,noon,21,TRUE
165,Wednesday,3,evening,15,TRUE
166,Monday,6,noon,1,TRUE
167,Saturday,3,night,4,TRUE
168,Friday,7,noon,4,TRUE
169,Saturday,2,evening,11,TRUE
170,Wednesday,4,noon,18,TRUE
171,Saturday,2,evening,20,TRUE
172,Thursday,1,evening,21,FALSE
173,Monday,5,evening,1,FALSE
174,Monday,3,night,1,TRUE
175,Saturday,3,noon,11,FALSE
176,Saturday,4,evening,17,FALSE
177,Monday,2,evening,19,TRUE
178,Thursday,4,night,15,TRUE
179,Wednesday,5,noon,4,TRUE
180,Thursday,2,noon,12,TRUE
181,Monday,2,noon,18,TRUE
182,Saturday,3,after-noon,7,FALSE
183,Friday,3,night,18,FALSE
184,Monday,3,night,5,TRUE
185,Tuesday,3,evening,9,TRUE
186,Monday,6,evening,13,TRUE
187,Friday,2,after-noon,11,TRUE
188,Wednesday,2,noon,21,TRUE
189,Wednesday,4,evening,14,TRUE
190,Sunday,2,noon,2,TRUE
191,Tuesday,2,evening,4,TRUE
192,Wednesday,5,evening,4,TRUE
193,Saturday,6,night,20,TRUE
194,Friday,2,after-noon,22,FALSE
195,Sunday,4,night,21,TRUE
196,Saturday,3,night,3,TRUE
197,Thursday,7,evening,19,TRUE
198,Friday,1,evening,1,FALSE
199,Monday,5,noon,17,FALSE
200,Saturday,2,noon,12,FALSE
201,Wednesday,2,evening,7,TRUE
202,Saturday,3,noon,15,TRUE
203,Friday,5,after-noon,23,FALSE
204,Tuesday,6,evening,12,TRUE
205,Saturday,4,noon,22,TRUE
206,Friday,5,after-noon,5,TRUE
207,Tuesday,1,noon,12,TRUE
208,Thursday,5,noon,15,TRUE
209,Friday,1,evening,5,FALSE
210,Saturday,3,noon,10,TRUE
211,Wednesday,4,evening,16,TRUE
212,Sunday,2,noon,19,FALSE
213,Friday,5,night,9,TRUE
214,Wednesday,2,evening,15,TRUE
215,Sunday,2,noon,8,TRUE
216,Monday,3,evening,18,FALSE
217,Saturday,6,noon,14,FALSE
218,Thursday,10,noon,15,TRUE
219,Sunday,2,evening,10,TRUE
220,Sunday,4,night,16,TRUE
221,Saturday,2,evening,16,FALSE
222,Saturday,4,noon,18,TRUE
223,Friday,2,noon,18,FALSE
224,Saturday,4,night,1,FALSE
225,Tuesday,1,evening,6,FALSE
226,Sunday,3,noon,17,TRUE
227,Tuesday,2,evening,21,FALSE
228,Saturday,2,night,3,TRUE
229,Friday,3,evening,16,FALSE
230,Saturday,8,evening,15,TRUE
231,Monday,4,night,22,FALSE
232,Saturday,3,night,21,FALSE
233,Friday,3,evening,1,FALSE
234,Saturday,3,evening,8,FALSE
235,Thursday,2,evening,20,FALSE
236,Saturday,2,evening,5,TRUE
237,Wednesday,1,noon,12,FALSE
238,Wednesday,3,noon,11,TRUE
239,Tuesday,3,evening,13,TRUE
240,Saturday,3,evening,22,FALSE
241,Tuesday,5,night,13,TRUE
242,Saturday,3,noon,13,FALSE
243,Thursday,4,evening,15,TRUE
244,Monday,2,evening,13,TRUE
245,Friday,2,evening,2,FALSE
246,Saturday,7,evening,7,FALSE
247,Friday,4,evening,12,FALSE
248,Saturday,7,evening,7,TRUE
249,Friday,5,evening,13,FALSE
250,Tuesday,5,night,11,TRUE
251,Sunday,2,night,19,TRUE
252,Wednesday,2,evening,2,TRUE
253,Sunday,2,night,9,TRUE
254,Tuesday,5,noon,21,TRUE
255,Thursday,6,evening,12,FALSE
256,Tuesday,3,evening,9,TRUE
257,Friday,2,evening,10,FALSE
258,Saturday,3,evening,1,FALSE
259,Tuesday,4,evening,14,TRUE
260,Saturday,6,evening,12,TRUE
261,Sunday,2,after-noon,3,FALSE
262,Tuesday,2,after-noon,10,TRUE
263,Saturday,5,noon,2,TRUE
264,Saturday,3,evening,1,FALSE
265,Wednesday,5,evening,6,TRUE
266,Wednesday,2,evening,23,TRUE
267,Friday,3,noon,2,TRUE
268,Friday,4,evening,4,FALSE
269,Wednesday,6,night,22,TRUE
270,Thursday,2,noon,3,TRUE
271,Friday,3,after-noon,22,FALSE
272,Friday,2,night,16,TRUE
273,Friday,3,night,1,FALSE
274,Saturday,5,evening,20,FALSE
275,Friday,1,evening,12,FALSE
276,Saturday,4,evening,10,TRUE
277,Friday,4,after-noon,20,FALSE
278,Saturday,2,after-noon,14,FALSE
279,Friday,1,noon,2,TRUE
280,Tuesday,5,evening,4,FALSE
281,Wednesday,6,after-noon,10,TRUE
282,Friday,2,night,20,TRUE
283,Tuesday,4,after-noon,9,FALSE
284,Monday,3,noon,15,TRUE
285,Saturday,5,evening,14,TRUE
286,Friday,5,evening,13,TRUE
287,Friday,2,after-noon,14,TRUE
288,Saturday,2,night,18,TRUE
289,Friday,4,noon,17,TRUE
290,Friday,3,night,17,FALSE
291,Friday,3,evening,23,FALSE
292,Friday,2,evening,6,FALSE
293,Friday,1,noon,20,FALSE
294,Sunday,1,evening,16,FALSE
295,Saturday,3,noon,7,FALSE
296,Tuesday,2,evening,4,TRUE
297,Wednesday,4,noon,18,TRUE
298,Friday,3,night,23,TRUE
299,Friday,3,noon,20,FALSE
300,Friday,3,evening,16,FALSE
301,Sunday,2,after-noon,19,FALSE
302,Thursday,4,evening,12,TRUE
303,Friday,2,night,11,TRUE
304,Tuesday,2,noon,8,TRUE
305,Tuesday,10,noon,1,FALSE
306,Saturday,7,night,10,FALSE
307,Sunday,5,evening,23,TRUE
308,Friday,2,evening,4,FALSE
309,Monday,4,night,17,TRUE
310,Friday,4,noon,13,FALSE
311,Saturday,3,night,23,TRUE
312,Friday,2,evening,17,TRUE
313,Friday,3,evening,21,FALSE
314,Monday,4,noon,7,TRUE
315,Wednesday,4,evening,15,TRUE
316,Saturday,4,noon,5,TRUE
317,Tuesday,5,noon,20,TRUE
318,Friday,2,noon,2,TRUE
319,Saturday,2,noon,18,TRUE
320,Sunday,5,evening,17,FALSE
321,Thursday,3,noon,18,FALSE
322,Thursday,4,evening,15,FALSE
323,Saturday,2,night,19,TRUE
324,Saturday,1,night,10,TRUE
325,Sunday,3,noon,22,FALSE
326,Monday,2,noon,7,TRUE
327,Sunday,4,evening,3,FALSE
328,Monday,2,noon,14,TRUE
329,Wednesday,2,noon,1,FALSE
330,Saturday,2,evening,2,TRUE
331,Wednesday,1,night,8,TRUE
332,Sunday,3,evening,2,TRUE
333,Saturday,1,evening,17,FALSE
334,Saturday,2,night,2,TRUE
335,Monday,3,evening,8,FALSE
336,Friday,5,evening,9,FALSE
337,Saturday,4,night,9,TRUE
338,Tuesday,4,evening,19,TRUE
339,Friday,6,evening,14,TRUE
340,Thursday,9,evening,18,TRUE
341,Sunday,2,noon,6,TRUE
342,Sunday,2,evening,7,TRUE
343,Friday,2,noon,8,TRUE
344,Tuesday,1,evening,22,FALSE
345,Saturday,2,after-noon,11,FALSE
346,Thursday,2,noon,3,TRUE
347,Saturday,2,night,4,TRUE
348,Tuesday,2,after-noon,1,TRUE
349,Friday,2,night,23,TRUE
350,Saturday,5,night,6,TRUE
351,Wednesday,4,night,1,TRUE
352,Tuesday,2,night,13,TRUE
353,Friday,2,night,19,TRUE
354,Wednesday,2,evening,1,TRUE
355,Saturday,3,night,1,FALSE
356,Sunday,2,night,21,TRUE
357,Saturday,4,evening,3,FALSE
358,Monday,4,evening,21,FALSE
359,Friday,2,after-noon,21,FALSE
360,Monday,2,noon,20,FALSE
361,Tuesday,6,evening,13,TRUE
362,Friday,1,after-noon,11,FALSE
363,Saturday,6,evening,18,TRUE
364,Monday,2,noon,21,TRUE
365,Saturday,2,noon,17,TRUE
366,Thursday,4,evening,16,FALSE
367,Monday,3,night,15,TRUE
368,Friday,4,evening,20,FALSE
369,Wednesday,3,noon,9,FALSE
370,Wednesday,2,night,14,TRUE
371,Tuesday,4,night,15,TRUE
372,Saturday,3,after-noon,15,FALSE
373,Thursday,2,noon,1,FALSE
374,Sunday,2,noon,1,TRUE
375,Friday,3,evening,2,FALSE
376,Friday,1,evening,7,FALSE
377,Saturday,5,noon,3,TRUE
378,Saturday,6,after-noon,20,FALSE
379,Monday,1,after-noon,14,TRUE
380,Friday,2,evening,13,FALSE
381,Tuesday,4,evening,13,TRUE
382,Saturday,1,night,3,TRUE
383,Thursday,4,noon,12,TRUE
384,Thursday,3,evening,4,TRUE
385,Sunday,2,noon,8,TRUE
386,Friday,2,evening,7,FALSE
387,Saturday,3,night,21,TRUE
388,Wednesday,2,night,23,TRUE
389,Monday,1,evening,11,FALSE
390,Friday,4,evening,10,FALSE
391,Sunday,4,evening,7,TRUE
392,Friday,4,evening,6,FALSE
393,Friday,2,noon,19,TRUE
394,Sunday,2,noon,1,TRUE
395,Tuesday,6,evening,1,TRUE
396,Friday,5,evening,1,FALSE
397,Saturday,2,noon,14,TRUE
398,Thursday,5,evening,21,FALSE
399,Saturday,1,noon,13,TRUE
400,Saturday,3,evening,5,TRUE
401,Friday,5,evening,19,FALSE
402,Thursday,2,evening,22,TRUE
403,Friday,4,evening,2,FALSE
404,Sunday,10,after-noon,9,FALSE
405,Monday,3,night,16,TRUE
406,Sunday,3,evening,2,FALSE
407,Wednesday,1,noon,18,FALSE
408,Saturday,3,evening,23,FALSE
409,Wednesday,2,night,7,TRUE
410,Friday,2,night,4,TRUE
411,Sunday,2,evening,23,TRUE
412,Sunday,2,night,8,FALSE
413,Saturday,3,night,14,TRUE
414,Wednesday,2,noon,13,TRUE
415,Wednesday,4,noon,23,TRUE
416,Wednesday,3,noon,11,FALSE
417,Tuesday,4,evening,9,TRUE
418,Tuesday,6,night,2,TRUE
419,Saturday,3,night,16,TRUE
420,Wednesday,7,after-noon,2,TRUE
421,Monday,3,noon,5,FALSE
422,Saturday,6,evening,22,TRUE
423,Tuesday,4,night,23,TRUE
424,Thursday,6,after-noon,6,FALSE
425,Friday,2,night,10,FALSE
426,Saturday,3,noon,19,TRUE
427,Saturday,2,noon,21,TRUE
428,Friday,2,evening,22,FALSE
429,Sunday,4,noon,15,TRUE
430,Monday,3,night,6,TRUE
431,Monday,1,evening,13,TRUE
432,Sunday,2,night,6,FALSE
433,Friday,1,noon,22,FALSE
434,Saturday,3,night,1,TRUE
435,Tuesday,3,evening,15,TRUE
436,Friday,7,evening,23,FALSE
437,Monday,3,after-noon,3,FALSE
438,Wednesday,4,night,6,TRUE
439,Friday,6,noon,4,TRUE
440,Tuesday,1,night,9,TRUE
441,Sunday,2,after-noon,8,FALSE
442,Friday,4,evening,2,TRUE
443,Saturday,3,evening,23,TRUE
444,Tuesday,2,after-noon,18,TRUE
445,Thursday,4,noon,1,TRUE
446,Saturday,7,noon,22,TRUE
447,Saturday,2,night,11,TRUE
448,Saturday,3,noon,14,TRUE
449,Sunday,3,night,23,FALSE
450,Friday,2,night,8,TRUE
451,Friday,5,evening,16,TRUE
452,Sunday,4,noon,2,TRUE
453,Tuesday,2,night,21,TRUE
454,Saturday,2,evening,22,TRUE
455,Friday,4,night,22,FALSE
456,Friday,1,noon,18,FALSE
457,Thursday,2,evening,20,TRUE
458,Thursday,4,after-noon,12,FALSE
459,Sunday,2,night,17,FALSE
460,Thursday,3,noon,21,TRUE
461,Friday,5,evening,2,FALSE
462,Friday,3,evening,21,FALSE
463,Tuesday,3,evening,1,TRUE
464,Friday,1,night,8,FALSE
465,Tuesday,3,noon,3,FALSE
466,Saturday,2,noon,3,TRUE
467,Sunday,3,evening,12,FALSE
468,Wednesday,2,evening,20,TRUE
469,Friday,1,after-noon,11,TRUE
470,Tuesday,4,evening,18,TRUE
471,Wednesday,2,noon,21,FALSE
472,Tuesday,3,night,8,TRUE
473,Sunday,1,evening,13,FALSE
474,Wednesday,5,noon,23,FALSE
475,Saturday,2,evening,5,TRUE
476,Friday,3,noon,1,TRUE
477,Saturday,3,noon,7,TRUE
478,Monday,1,evening,12,FALSE
479,Saturday,3,evening,1,FALSE
480,Tuesday,4,evening,21,TRUE
481,Wednesday,5,evening,22,TRUE
482,Wednesday,2,noon,22,TRUE
483,Friday,2,evening,2,FALSE
484,Monday,2,after-noon,20,FALSE
485,Sunday,3,evening,20,TRUE
486,Thursday,6,evening,13,TRUE
487,Tuesday,3,noon,21,TRUE
488,Friday,5,evening,19,FALSE
489,Friday,5,noon,21,FALSE
490,Monday,2,evening,17,TRUE
491,Friday,1,noon,14,FALSE
492,Friday,2,evening,12,FALSE
493,Sunday,2,evening,5,TRUE
494,Saturday,1,noon,5,FALSE
495,Friday,4,evening,20,FALSE
496,Saturday,2,noon,21,FALSE
497,Tuesday,4,after-noon,14,FALSE
498,Saturday,7,noon,9,TRUE
499,Tuesday,1,after-noon,6,FALSE
500,Monday,7,evening,9,TRUE
501,Friday,3,evening,14,TRUE
